Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
cicdarknet2020,transformer_lstm,0.9643,0.9001,0.8961,0.8981,0.9911
unsw_nb15,transformer_lstm,0.9371,0.9622,0.9384,0.9502,0.9886
